,,MIMAT0019932,MIMAT0005943,MIMAT0027618,,,,,https://www.ncbi.nlm.nih.gov/geo/browse/?view=samples&series=59856
E001,Healthy,4.15,3.482,3.102,,,,,
E002,Healthy,3.916,3.415,3.607,,,,,
E003,Healthy,3.62,3.506,3.18,,,,,
E004,Healthy,3.316,3.857,2.81,,,,,
E005,Healthy,4.077,3.43,3.324,,,,,
E006,Healthy,4.948,3.907,3.873,,,,,
E007,Healthy,3.548,3.627,3.486,,,,,
E008,Healthy,4.155,3.924,3.133,,,,,
E009,Healthy,4.182,3.655,3.895,,,,,
E010,Healthy,3.928,3.49,3.62,,,,,
E011,Healthy,3.23,3.994,2.987,,,,,
E012,Healthy,4.1,3.893,3.976,,,,,
E014,Healthy,4.363,3.328,4.033,,,,,
E015,Healthy,4.372,3.213,4.011,,,,,
E016,Healthy,2.789,3.77,3.295,,,,,
E018,Healthy,5.117,3.885,4.357,,,,,
E019,Healthy,3.848,3.459,2.612,,,,,
E020,Healthy,3.459,3.257,2.933,,,,,
E021,Healthy,3.902,4.149,4.063,,,,,
E022,Healthy,3.993,3.301,4.028,,,,,
E023,Healthy,4.264,2.612,2.994,,,,,
E024,Healthy,4.428,2.847,3.685,,,,,
E025,Healthy,3.768,2.767,2.797,,,,,
E026,Healthy,3.528,3.121,3.405,,,,,
E027,Healthy,4.489,2.946,3.869,,,,,
E028,Healthy,4.164,3.142,3.357,,,,,
E029,Healthy,4.549,3.419,3.513,,,,,
E030,Healthy,3.937,3.49,3.133,,,,,
E031,Healthy,3.482,2.612,2.612,,,,,
E032,Healthy,3.83,3.095,3.068,,,,,
E033,Healthy,3.886,3.757,3.737,,,,,
E034,Healthy,3.548,3.236,3.386,,,,,
E035,Healthy,3.498,3.058,3.712,,,,,
E036,Healthy,3.946,2.757,3.236,,,,,
E037,Healthy,4.095,3.379,3.295,,,,,
E038,Healthy,3.7,3.21,3.92,,,,,
E039,Healthy,3.77,2.612,2.612,,,,,
E040,Healthy,4.405,3.244,2.612,,,,,
E041,Healthy,4.548,2.612,4.2,,,,,
E042,Healthy,4.772,3.79,3.793,,,,,
E044,Healthy,4.416,3.95,3.521,,,,,
E045,Healthy,4.372,3.886,3.647,,,,,
E046,Healthy,3.81,3.471,3.445,,,,,
E048,Healthy,4.425,3.819,3.084,,,,,
E049,Healthy,4.395,3.513,4.297,,,,,
E050,Healthy,4.095,3.548,3.306,,,,,
E051,Healthy,4.381,4.155,4.363,,,,,
E052,Healthy,4.499,3.412,4.047,,,,,
E053,Healthy,4.395,3.197,3.757,,,,,
E054,Healthy,3.882,3.839,3.716,,,,,
E055,Healthy,4.4,3.467,3.313,,,,,
E056,Healthy,4.484,4.06,3.009,,,,,
E057,Healthy,3.733,3.712,3.22,,,,,
E058,Healthy,4.33,3.335,3.946,,,,,
E059,Healthy,4.335,3.6,3.976,,,,,
E061,Healthy,4.539,3.49,4.038,,,,,
E062,Healthy,4.264,4.038,4.109,,,,,
E063,Healthy,3.785,3.383,3.233,,,,,
E064,Healthy,3.976,3.075,3.814,,,,,
E065,Healthy,3.313,3.639,3.075,,,,,
E066,Healthy,4.286,2.977,3.396,,,,,
E067,Healthy,3.827,3.899,3.517,,,,,
E068,Healthy,3.998,3.916,3.244,,,,,
E069,Healthy,2.612,3.383,2.931,,,,,
S001,Healthy,4.047,2.823,3.409,,,,,
S002,Healthy,4.474,3.994,3.976,,,,,
S003,Healthy,3.646,2.612,2.612,,,,,
S004,Healthy,3.502,2.997,2.612,,,,,
S005,Healthy,3.962,3.36,3.57,,,,,
S006,Healthy,4.172,3.509,3.946,,,,,
S007,Healthy,4.141,3.423,3.798,,,,,
S008,Healthy,4.516,3.609,4.244,,,,,
S009,Healthy,4.38,3.638,4.352,,,,,
S010,Healthy,3.517,2.612,4.064,,,,,
S011,Healthy,3.078,2.736,2.801,,,,,
S012,Healthy,3.452,4.474,2.612,,,,,
S013,Healthy,3.79,2.612,3.069,,,,,
S014,Healthy,3.278,2.954,2.916,,,,,
S015,Healthy,3.212,3.598,2.865,,,,,
S016,Healthy,3.178,3.53,3.035,,,,,
S017,Healthy,4.22,3.798,4.127,,,,,
S018,Healthy,4.469,3.239,3.646,,,,,
S020,Healthy,3.643,3.869,3.066,,,,,
S021,Healthy,3.806,3.712,3.785,,,,,
S022,Healthy,4.38,2.65,3.512,,,,,
S023,Healthy,4.419,3.176,3.662,,,,,
S025,Healthy,3.89,3.6,3.611,,,,,
S026,Healthy,4.036,3.249,4.062,,,,,
S027,Healthy,4.296,3.363,3.748,,,,,
S028,Healthy,4.114,3.299,3.339,,,,,
S029,Healthy,4.61,3.427,3.563,,,,,
S030,Healthy,3.882,2.612,2.978,,,,,
S031,Healthy,3.822,2.732,3.055,,,,,
S032,Healthy,3.603,3.405,3.029,,,,,
S033,Healthy,4.114,2.949,3.274,,,,,
S035,Healthy,4.716,2.612,3.182,,,,,
S036,Healthy,3.704,3.023,2.838,,,,,
S037,Healthy,4.025,3.401,2.778,,,,,
S038,Healthy,3.82,3.088,3.507,,,,,
S039,Healthy,4.131,2.728,4.029,,,,,
S040,Healthy,4.224,3.659,4.068,,,,,
S041,Healthy,4.645,3.796,2.612,,,,,
S042,Healthy,3.911,3.213,3.063,,,,,
S044,Healthy,3.691,3.328,3.21,,,,,
S045,Healthy,3.989,2.929,3.22,,,,,
S046,Healthy,3.419,3.49,3.187,,,,,
S047,Healthy,4.241,3.749,3.579,,,,,
S048,Healthy,3.968,3.419,3.513,,,,,
S050,Healthy,3.478,3.099,2.902,,,,,
S051,Healthy,3.4,3.393,3.547,,,,,
S052,Healthy,4.728,4.015,4.201,,,,,
S053,Healthy,4.015,2.612,3.741,,,,,
S054,Healthy,4.274,3.401,4.164,,,,,
S056,Healthy,4.02,3.683,4.381,,,,,
S057,Healthy,4.306,2.739,3.295,,,,,
S058,Healthy,4.068,3.579,3.895,,,,,
S059,Healthy,4.002,3.292,3.819,,,,,
S060,Healthy,3.972,3.22,3.994,,,,,
S061,Healthy,4.386,4.073,3.659,,,,,
S062,Healthy,3.835,3.651,3.302,,,,,
S063,Healthy,3.911,4.081,3.583,,,,,
S064,Healthy,3.882,3.357,3.324,,,,,
S065,Healthy,3.474,3.049,3.117,,,,,
S066,Healthy,4.002,2.612,2.612,,,,,
S067,Healthy,3.785,3.23,3.583,,,,,
S068,Healthy,3.696,3.257,3.607,,,,,
S069,Healthy,3.56,2.612,3.365,,,,,
S070,Healthy,3.976,3.567,3.448,,,,,
S071,Healthy,4.43,3.869,2.612,,,,,
S072,Healthy,3.643,3.474,3.354,,,,,
S073,Healthy,4.091,3.765,4.26,,,,,
S074,Healthy,4.024,3.116,3.642,,,,,
S075,Healthy,4.047,4.073,2.612,,,,,
S076,Healthy,4.237,2.612,4.233,,,,,
S077,Healthy,3.17,3.147,3.654,,,,,
S079,Healthy,4.518,3.667,3.375,,,,,
S080,Healthy,4.216,3.615,3.793,,,,,
S081,Healthy,3.998,2.612,3.423,,,,,
S082,Healthy,3.998,3.506,3.822,,,,,
S083,Healthy,4.528,3.844,3.607,,,,,
S084,Healthy,5.063,2.612,5.408,,,,,
S085,Healthy,4.569,2.612,3.907,,,,,
S086,Healthy,3.59,3.253,3.422,,,,,
S087,Healthy,4.415,3.437,3.567,,,,,
S088,Healthy,3.861,3.441,4.006,,,,,
S089,Healthy,6.079,2.612,2.612,,,,,
S090,Healthy,4.095,3.257,3.043,,,,,
S091,Healthy,2.612,2.612,3.415,,,,,
S092,Healthy,3.367,2.644,2.719,,,,,
S093,Healthy,3.691,3.798,4.479,,,,,
HC01,Liver Cancer,2.612,2.612,2.612,,,,,
HC02,Liver Cancer,2.612,2.612,2.612,,,,,
HC03,Liver Cancer,2.613,2.613,2.613,,,,,
HC04,Liver Cancer,2.612,2.612,2.612,,,,,
HC05,Liver Cancer,2.612,2.612,2.612,,,,,
HC06,Liver Cancer,2.612,2.612,2.612,,,,,
HC07,Liver Cancer,2.612,2.612,2.612,,,,,
HC08,Liver Cancer,2.612,2.612,2.612,,,,,
HC09,Liver Cancer,2.612,2.612,2.612,,,,,
HC10,Liver Cancer,2.613,2.613,2.613,,,,,
HC11,Liver Cancer,2.612,2.612,2.612,,,,,
HC12,Liver Cancer,2.612,2.612,2.612,,,,,
HC13,Liver Cancer,2.612,2.612,2.612,,,,,
HC14,Liver Cancer,2.612,2.612,2.612,,,,,
HC15,Liver Cancer,2.612,2.612,2.612,,,,,
HC16,Liver Cancer,2.613,2.613,2.613,,,,,
HC17,Liver Cancer,2.613,2.613,2.613,,,,,
HC18,Liver Cancer,2.612,2.612,2.612,,,,,
HC19,Liver Cancer,2.613,2.613,2.613,,,,,
HC20,Liver Cancer,2.612,2.612,2.612,,,,,
HC21,Liver Cancer,3.081,3.223,2.612,,,,,
HC22,Liver Cancer,2.612,2.612,2.612,,,,,
HC23,Liver Cancer,3.096,2.612,2.612,,,,,
HC24,Liver Cancer,2.612,2.612,2.612,,,,,
HC25,Liver Cancer,2.612,2.612,2.612,,,,,
HC26,Liver Cancer,2.612,2.612,2.612,,,,,
HC27,Liver Cancer,2.612,2.612,2.612,,,,,
HC28,Liver Cancer,2.612,2.612,2.612,,,,,
HC29,Liver Cancer,2.612,2.612,2.612,,,,,
HC30,Liver Cancer,2.612,2.612,2.612,,,,,
HC31,Liver Cancer,2.612,2.612,2.612,,,,,
HC32,Liver Cancer,2.612,3.23,2.612,,,,,
HC33,Liver Cancer,2.612,2.612,2.612,,,,,
HC34,Liver Cancer,2.612,2.612,2.612,,,,,
HC35,Liver Cancer,2.612,3.745,2.612,,,,,
HC36,Liver Cancer,2.612,2.612,2.612,,,,,
HC37,Liver Cancer,2.612,2.612,2.612,,,,,
HC38,Liver Cancer,2.612,2.612,2.612,,,,,
HC39,Liver Cancer,2.612,2.612,2.612,,,,,
HC40,Liver Cancer,2.612,3.331,2.612,,,,,
HC41,Liver Cancer,2.612,2.612,2.612,,,,,
HC42,Liver Cancer,2.612,2.612,2.612,,,,,
HC43,Liver Cancer,3.454,2.612,2.612,,,,,
HC44,Liver Cancer,2.612,2.612,2.612,,,,,
HC45,Liver Cancer,2.612,2.612,2.612,,,,,
HC46,Liver Cancer,2.612,2.612,2.612,,,,,
HC47,Liver Cancer,2.612,2.612,2.612,,,,,
HC48,Liver Cancer,2.612,2.612,2.612,,,,,
HC49,Liver Cancer,2.612,2.612,2.612,,,,,
HC50,Liver Cancer,2.612,2.612,2.612,,,,,
B34,Liver Cancer,4.358,2.612,3.844,,,,,
B70,Liver Cancer,3.441,3.267,3.907,,,,,